produce_type,temperature,humidity,voc,storage_age,initial_shelf_life,remaining_shelf_life
Tomato,18.4,94.8,1.035,9.5,21,0.0
Onion_Green,11.4,85.6,0.948,18.9,25,0.0
Strawberry,0.8,94.6,0.994,3.8,5,0.0
Tomato,16.4,96.2,0.296,4.6,21,12.5
Strawberry,-1.9,94.2,0.84,3.8,5,0.0
Orange,9.3,72.8,1.065,64.8,70,0.0
Onion,21.2,68.8,0.332,133.4,180,0.0
Orange,4.1,88.0,0.01,1.3,70,68.6
Onion,21.0,79.1,0.01,1.8,180,174.1
Tomato,28.8,78.9,1.469,7.2,21,0.0
Spinach,3.7,99.4,0.185,9.1,12,0.0
Tomato,29.2,81.4,3.406,11.9,21,0.0
Carrot,3.7,98.6,0.37,24.8,30,0.0
Bell Pepper,11.3,100.0,0.407,9.5,18,0.0
Onion,32.5,72.5,0.661,90.1,180,0.0
Onion,30.6,56.0,0.896,105.3,180,0.0
Apple,31.4,56.4,15.0,135.1,180,0.0
Banana,17.2,88.6,2.105,10.4,20,0.0
Broccoli,1.2,100.0,0.039,1.3,18,16.5
Onion_Green,9.7,89.4,0.85,17.5,25,0.0
Bell Pepper,28.4,80.3,3.048,9.9,18,0.0
Mango,37.0,64.8,7.663,5.6,21,0.0
Apple,-0.4,87.9,0.407,79.7,180,44.1
Cucumber,37.1,56.3,1.633,3.2,14,0.0
Bell Pepper,17.9,81.8,0.625,7.5,18,0.0
Bell Pepper,17.5,88.2,0.174,2.9,18,11.0
Broccoli,1.6,96.6,0.01,0.3,18,17.7
Mango,32.5,58.3,1.805,1.6,21,0.0
Bell Pepper,12.9,90.7,0.178,2.6,18,14.4
Strawberry,29.7,55.9,1.217,0.3,5,0.0
Potato,10.7,93.0,0.293,134.1,200,5.1
Onion,19.8,66.5,0.02,9.9,180,169.8
Onion_Green,0.2,96.1,0.091,5.4,25,18.9
Strawberry,-0.8,95.2,0.611,2.2,5,1.0
Onion_Green,11.3,77.1,0.153,3.1,25,5.0
Orange,28.9,73.5,2.827,29.6,70,0.0
Potato,30.6,73.2,2.492,185.9,200,0.0
Banana,13.9,100.0,0.097,0.7,20,19.0
Orange,37.2,71.0,14.423,62.6,70,0.0
Carrot,2.5,100.0,0.249,22.3,30,0.0
Grapes,0.5,90.1,0.374,32.7,45,0.0
Banana,36.0,65.2,15.0,15.6,20,0.0
Orange,3.0,91.0,0.346,41.9,70,3.8
Apple,4.5,87.8,0.551,63.9,180,52.8
Strawberry,-1.3,93.4,0.775,3.1,5,0.0
Potato,33.2,66.8,0.109,5.0,200,111.9
Cucumber,11.6,91.5,0.077,3.3,14,10.1
Spinach,35.2,83.4,0.143,0.3,12,4.1
Spinach,11.4,89.4,0.204,4.4,12,0.0
Apple,-0.6,87.4,0.259,48.8,180,103.3
Broccoli,33.3,70.3,0.902,1.6,18,0.0
Grapes,14.7,81.8,1.372,29.1,45,0.0
Cucumber,29.8,60.3,2.073,10.6,14,0.0
Onion,29.5,58.1,0.879,162.7,180,0.0
Spinach,6.1,100.0,0.212,9.1,12,0.0
Carrot,37.0,62.4,2.678,6.8,30,0.0
Potato,9.5,93.9,0.231,127.6,200,32.7
Cucumber,23.5,79.1,1.225,9.8,14,0.0
Banana,20.1,83.2,1.231,6.0,20,0.0
Broccoli,-1.0,100.0,0.129,8.5,18,7.6
Banana,16.5,95.3,1.709,8.5,20,0.0
Broccoli,29.3,53.6,4.839,12.4,18,0.0
Cucumber,35.7,59.3,2.621,8.6,14,0.0
Tomato,18.9,85.7,1.097,10.4,21,0.0
Banana,14.4,99.3,0.851,5.2,20,7.8
Strawberry,1.8,96.2,1.322,4.7,5,0.0
Banana,14.0,92.8,0.7,6.4,20,8.2
Potato,8.7,89.5,0.171,101.9,200,71.1
Bell Pepper,13.0,80.0,0.127,2.1,18,12.9
Tomato,33.2,71.8,0.95,1.9,21,3.5
Spinach,34.1,67.7,0.777,1.9,12,0.0
Carrot,-0.8,97.8,0.081,8.8,30,19.8
Mango,13.7,90.9,1.15,11.5,21,0.0
Strawberry,29.2,78.6,11.659,1.9,5,0.0
Orange,12.9,79.7,0.246,14.2,70,28.2
Apple,3.0,89.4,1.542,166.8,180,0.0
Cucumber,29.3,80.2,3.571,12.3,14,0.0
Onion,31.2,83.3,0.916,141.1,180,0.0
Grapes,0.8,92.7,0.225,18.5,45,21.2
Banana,11.0,92.6,0.628,7.0,20,6.5
Onion_Green,-0.3,100.0,0.021,1.5,25,23.4
Carrot,30.7,56.2,3.594,19.7,30,0.0
Tomato,21.9,82.1,1.132,12.5,21,0.0
Onion_Green,32.0,72.9,3.812,8.5,25,0.0
Broccoli,11.6,91.3,0.932,13.2,18,0.0
Broccoli,9.5,89.4,0.807,11.7,18,0.0
Orange,12.0,77.3,0.744,36.5,70,0.0
Spinach,0.8,99.7,0.123,9.3,12,1.1
Grapes,2.2,91.9,0.619,38.1,45,0.0
Strawberry,-1.2,93.5,0.316,1.3,5,3.2
Orange,19.2,83.6,2.531,59.5,70,0.0
Strawberry,15.2,82.3,0.436,0.3,5,2.9
Orange,4.5,88.1,0.034,4.8,70,64.9
Bell Pepper,37.7,83.0,9.963,13.4,18,0.0
Apple,1.9,90.4,1.045,130.7,180,0.0
Carrot,34.7,50.4,1.891,7.4,30,0.0
Mango,34.4,68.6,1.293,0.9,21,6.5
Onion_Green,15.4,82.1,0.089,1.1,25,16.6
Tomato,30.2,63.0,3.847,8.7,21,0.0
Onion,18.3,68.1,0.172,84.9,180,72.7
Tomato,18.2,94.3,1.971,17.2,21,0.0
Potato,35.5,69.5,0.673,34.4,200,0.0
Broccoli,-1.2,100.0,0.167,9.3,18,6.2
Potato,36.2,57.5,2.405,96.2,200,0.0
Orange,7.2,86.0,0.461,49.5,70,0.0
Spinach,1.5,100.0,0.173,8.7,12,1.1
Onion_Green,2.0,98.2,0.326,17.6,25,0.0
Apple,13.3,79.6,2.249,95.0,180,0.0
Bell Pepper,9.0,98.3,0.462,13.4,18,0.0
Cucumber,36.3,50.4,4.283,10.0,14,0.0
Potato,7.2,91.2,0.067,58.1,200,134.5
Mango,30.2,54.8,6.754,13.3,21,0.0
Onion,22.3,74.4,0.041,16.0,180,156.5
Bell Pepper,29.0,57.9,4.353,12.1,18,0.0
Orange,7.0,96.7,0.189,18.0,70,36.2
Bell Pepper,12.0,95.7,0.896,16.8,18,0.0
Potato,33.2,65.4,0.444,28.1,200,0.0
Banana,11.2,94.8,0.616,5.8,20,8.9
Tomato,30.2,80.4,0.965,2.4,21,5.8
Broccoli,37.5,57.1,8.763,9.7,18,0.0
Cucumber,10.7,97.3,0.24,6.9,14,4.7
Cucumber,30.3,63.2,1.412,6.2,14,0.0
Mango,32.6,66.9,2.678,2.7,21,0.0
Banana,35.8,50.2,1.234,1.2,20,0.0
Bell Pepper,10.8,99.4,0.467,11.3,18,0.0
Strawberry,0.2,95.2,1.208,4.6,5,0.0
Onion,28.6,61.1,0.162,26.8,180,101.2
Potato,24.6,73.7,1.085,171.0,200,0.0
Banana,33.5,54.5,15.0,16.8,20,0.0
Orange,4.4,89.9,0.087,13.3,70,54.8
Orange,5.5,87.1,0.525,64.3,70,0.0
Carrot,33.6,68.3,1.09,3.4,30,0.0
Banana,28.3,83.5,4.379,10.5,20,0.0
Banana,25.7,84.7,4.024,8.8,20,0.0
Apple,0.1,100.0,0.493,87.7,180,4.0
Apple,30.0,59.1,3.932,28.2,180,0.0
Onion_Green,35.5,50.6,1.474,3.1,25,0.0
Bell Pepper,10.7,93.5,0.548,13.2,18,0.0
Onion_Green,9.2,84.0,0.324,6.8,25,0.0
Spinach,0.1,100.0,0.158,8.9,12,0.9
Apple,3.4,90.4,0.442,47.3,180,102.7
Onion_Green,33.3,55.5,5.887,16.6,25,0.0
Strawberry,-1.8,96.4,1.017,4.3,5,0.0
Strawberry,-1.4,89.6,0.565,2.1,5,1.1
Onion,36.6,54.1,1.24,126.5,180,0.0
Bell Pepper,9.9,98.1,0.012,0.3,18,17.6
Carrot,0.2,93.7,0.208,27.7,30,0.0
Onion,27.0,52.5,0.421,80.6,180,0.0
Onion_Green,-2.0,100.0,0.258,19.5,25,0.0
Potato,10.1,93.2,0.13,79.9,200,103.4
Banana,16.4,91.5,1.526,12.4,20,0.0
Potato,36.4,58.9,0.175,6.0,200,53.7
Grapes,2.4,98.3,0.045,3.1,45,40.7
Strawberry,28.7,52.7,8.162,1.7,5,0.0
Cucumber,18.5,81.6,0.045,0.5,14,12.3
Bell Pepper,30.3,78.3,0.263,1.1,18,5.9
Onion_Green,0.4,99.5,0.218,13.4,25,7.8
Onion,18.5,64.6,0.129,70.6,180,91.5
Onion_Green,-0.8,97.2,0.251,17.6,25,1.9
Carrot,1.6,98.1,0.256,23.0,30,0.0
Mango,34.2,69.6,15.0,12.6,21,0.0
Mango,13.8,93.6,0.371,2.0,21,18.0
Bell Pepper,7.4,94.1,0.467,14.1,18,0.0
Broccoli,36.5,73.4,10.728,10.2,18,0.0
Carrot,34.3,68.6,6.096,23.9,30,0.0
Broccoli,36.6,68.3,0.758,1.2,18,0.0
Mango,15.6,92.2,1.512,10.5,21,0.0
Apple,32.4,71.2,15.0,108.0,180,0.0
Mango,34.4,73.7,3.41,2.7,21,0.0
Apple,0.2,100.0,0.802,127.2,180,0.0
Tomato,17.9,86.9,0.016,0.2,21,20.8
Broccoli,-0.7,96.8,0.049,3.4,18,14.3
Apple,19.0,79.0,3.665,91.9,180,0.0
Tomato,16.9,88.5,1.105,10.3,21,0.0
Broccoli,1.2,95.8,0.127,4.9,18,12.1
Broccoli,14.0,87.4,1.259,12.0,18,0.0
Apple,15.9,79.0,3.507,150.9,180,0.0
Grapes,1.3,91.1,0.143,11.1,45,31.5
Spinach,0.4,99.2,0.131,7.6,12,3.0
Potato,10.1,97.1,0.022,13.6,200,183.4
Cucumber,10.7,99.5,0.319,8.6,14,0.8
Grapes,0.5,94.6,0.316,26.2,45,7.9
Strawberry,2.5,94.8,1.018,2.6,5,0.0
Strawberry,1.9,100.0,0.097,0.3,5,4.5
Potato,30.2,66.3,1.979,155.2,200,0.0
Broccoli,8.1,81.5,0.3,5.3,18,0.0
Cucumber,19.8,78.4,0.607,6.0,14,0.0
Spinach,1.7,92.0,0.145,6.9,12,2.5
Mango,15.1,100.0,0.523,3.4,21,13.9
Tomato,16.7,91.4,0.725,6.9,21,7.5
Onion_Green,34.0,53.5,11.377,20.1,25,0.0
Orange,32.5,74.1,1.291,9.4,70,0.0
Potato,8.5,93.8,0.038,25.9,200,172.7
Broccoli,-0.2,96.7,0.135,5.0,18,12.1
Potato,31.7,63.1,1.402,90.1,200,0.0
Carrot,30.9,83.6,2.211,11.2,30,0.0
Grapes,35.7,84.3,6.568,20.5,45,0.0
Potato,32.4,60.6,0.823,49.3,200,0.0
Apple,4.5,92.8,0.374,40.3,180,114.2
Tomato,30.3,76.6,3.553,12.5,21,0.0
Broccoli,1.1,100.0,0.149,5.2,18,11.5
Apple,0.5,91.1,0.485,81.4,180,48.7
Mango,29.3,70.8,7.451,12.0,21,0.0
Onion,16.9,66.4,0.23,135.8,180,0.0
Mango,23.1,85.8,0.709,2.0,21,12.8
Spinach,3.5,94.8,0.167,8.7,12,0.1
Onion_Green,-0.4,100.0,0.26,17.3,25,1.6
Strawberry,35.6,70.1,15.0,4.5,5,0.0
Onion_Green,-0.3,100.0,0.306,20.1,25,0.0
Grapes,30.2,75.7,8.553,32.6,45,0.0
Onion,21.9,77.7,0.053,23.1,180,106.7
Banana,11.9,93.1,1.931,15.1,20,0.0
Apple,34.8,79.0,10.091,50.5,180,0.0
Potato,9.6,93.0,0.227,133.0,200,27.4
Onion_Green,-1.2,97.4,0.124,9.7,25,13.5
Apple,11.1,88.0,2.655,119.3,180,0.0
Grapes,33.2,60.5,1.268,3.4,45,0.0
Onion,20.0,67.0,0.1,50.6,180,123.3
Strawberry,32.0,60.2,6.644,0.8,5,0.0
Tomato,17.1,95.6,0.68,7.2,21,4.7
Carrot,29.9,75.2,5.305,24.7,30,0.0
Onion,19.7,64.2,0.295,122.1,180,5.5
Mango,13.8,87.3,0.37,2.5,21,16.9
Strawberry,11.8,79.0,2.634,3.0,5,0.0
Broccoli,-1.3,96.9,0.071,3.3,18,14.3
Onion,28.6,79.4,0.01,0.8,180,176.3
Potato,28.8,82.6,1.849,157.1,200,0.0
Banana,12.4,93.3,0.912,8.3,20,2.2
Tomato,16.8,88.9,0.214,2.4,21,17.9
Strawberry,-0.6,100.0,0.754,3.2,5,0.0
Tomato,17.1,85.1,1.662,18.8,21,0.0
Apple,-2.0,100.0,0.718,163.6,180,0.0
Strawberry,32.8,53.9,15.0,3.1,5,0.0
Potato,36.5,57.4,3.234,124.9,200,0.0
Broccoli,34.5,77.9,8.889,12.9,18,0.0
Orange,4.1,93.8,0.394,42.9,70,0.0
Potato,13.4,98.5,0.041,16.3,200,171.0
Tomato,16.0,82.3,1.389,16.7,21,0.0
Bell Pepper,10.3,92.7,0.022,0.6,18,17.3
Strawberry,14.1,82.4,5.135,4.6,5,0.0
Strawberry,0.1,97.2,0.361,1.3,5,2.9
Strawberry,-0.0,91.8,0.392,1.3,5,3.0
Potato,7.2,94.7,0.204,122.0,200,40.3
Potato,12.2,100.0,0.208,87.1,200,35.0
Onion,20.4,69.2,0.338,160.3,180,0.0
Strawberry,17.7,82.6,7.951,4.6,5,0.0
Strawberry,30.0,75.4,14.246,3.0,5,0.0
Grapes,34.4,63.6,8.554,28.9,45,0.0
Broccoli,37.5,61.8,10.471,12.4,18,0.0
Bell Pepper,10.1,90.0,0.123,2.4,18,15.2
Banana,13.0,96.3,2.063,18.0,20,0.0
Bell Pepper,32.6,69.1,2.95,7.5,18,0.0
Bell Pepper,19.8,88.1,1.395,15.4,18,0.0
Broccoli,36.5,58.5,14.953,16.4,18,0.0
Mango,37.9,74.9,15.0,19.6,21,0.0
Carrot,29.8,57.5,0.089,0.5,30,16.7
Onion,20.6,67.6,0.303,129.5,180,2.3
Mango,11.1,96.7,0.433,3.3,21,15.3
Orange,36.6,71.1,10.253,55.6,70,0.0
Strawberry,2.4,88.7,0.632,1.6,5,1.9
Banana,22.2,86.3,1.522,4.7,20,0.0
Grapes,-0.3,90.2,0.323,39.3,45,0.0
Apple,2.8,92.5,0.814,108.7,180,0.0
Cucumber,10.5,92.9,0.273,7.5,14,3.6
Broccoli,7.6,91.2,0.828,16.4,18,0.0
Carrot,33.8,65.3,3.84,16.6,30,0.0
Apple,1.2,93.0,0.579,73.6,180,55.0
Spinach,9.4,80.2,0.261,6.8,12,0.0
Carrot,0.4,97.8,0.134,18.2,30,8.7
Apple,8.7,88.8,1.851,142.9,180,0.0
Grapes,35.7,62.3,7.844,35.3,45,0.0
Potato,10.4,91.0,0.044,24.4,200,172.3
Bell Pepper,18.1,83.2,0.474,6.3,18,0.0
Spinach,2.0,94.4,0.01,0.1,12,11.9
Onion_Green,1.7,94.8,0.352,15.3,25,1.7
Cucumber,10.8,98.6,0.308,10.9,14,0.0
Bell Pepper,7.9,91.1,0.341,13.1,18,0.0
Broccoli,10.4,88.2,0.217,4.7,18,0.0
Cucumber,22.9,84.3,0.97,8.4,14,0.0
Tomato,23.3,66.0,3.231,18.6,21,0.0
Orange,4.6,88.2,0.065,8.4,70,60.9
Banana,30.0,62.1,4.531,6.4,20,0.0
Mango,13.5,91.2,2.335,13.4,21,0.0
Tomato,13.3,88.9,0.839,14.7,21,0.0
Banana,13.4,93.4,2.075,15.2,20,0.0
Spinach,1.5,100.0,0.12,6.3,12,4.5
Tomato,21.2,74.2,1.405,9.7,21,0.0
Carrot,0.5,94.1,0.201,24.8,30,0.0
Apple,10.9,80.1,2.175,159.9,180,0.0
Orange,6.0,82.2,0.206,20.5,70,40.2
Broccoli,9.7,91.0,0.689,15.0,18,0.0
Tomato,17.4,92.9,0.566,6.7,21,8.3
Banana,14.2,92.4,1.753,14.9,20,0.0
Spinach,12.0,85.4,0.169,3.2,12,0.0
Banana,37.1,50.4,11.525,8.6,20,0.0
Carrot,35.0,64.8,3.01,9.9,30,0.0
Strawberry,1.1,99.9,1.262,3.5,5,0.0
Onion,34.0,52.7,0.155,13.0,180,94.2
Onion,22.6,65.6,0.231,78.4,180,67.1
Potato,7.2,96.1,0.176,115.9,200,45.8
Carrot,17.5,82.6,0.348,6.2,30,0.0
Bell Pepper,12.6,100.0,0.502,10.0,18,0.0
Tomato,28.8,84.8,4.741,14.8,21,0.0
Cucumber,9.8,92.4,0.295,10.0,14,0.0
Onion_Green,36.6,78.6,7.913,12.2,25,0.0
Carrot,-1.3,96.0,0.048,5.8,30,23.2
Spinach,-0.5,91.9,0.045,2.5,12,8.7
Bell Pepper,36.4,78.2,9.547,14.1,18,0.0
Broccoli,-0.7,100.0,0.21,8.8,18,6.5
Tomato,33.8,68.8,2.342,5.4,21,0.0
